uid,orig_spl,resp_spl,orig_spt,resp_spt,label
CvOeFy2NViXcvVFwH8,"40,26",40,"0.0,5.193601",0.0,1-win
CDeHmwAfNSWUIkpHa,"40,158,285,33,41,26","40,51,37,33,430,1425,1425,556,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1000","0.0,0.054156,0.000392,0.001852,0.071713,0.001173","0.0,0.000215,0.000085,0.022252,0.063436,0.025335,0.00005,0.000024,1.034666,0.007559,0.000059,0.018065,0.000178,0.000567,0.000108,0.000056,0.000027,0.00035,0.000052,0.01425",1-win
CAqhGoVgxYLg5ugU1,"40,158,41","40,51","0.0,0.004303,0.000977","0.0,0.0",1-win
CQFaVY1Wm4RKrwjA5l,"40,175,26","40,51,37,33","0.0,0.003813,0.001397","0.0,0.000276,0.000273,0.050798",1-win
Cay35N3cWtZl1ty4E2,"40,26",40,"0.0,5.026306",0.0,1-win
CkJ74t1rBGTB8tWXea,"40,175,26","40,51,37,33","0.0,0.002611,0.019442","0.0,0.000075,0.001746,0.01207",1-win
CwCeYN2tjiPdss6Spl,"40,158,784,33,41,26","40,51,37,33,618,75,41","0.0,0.510284,0.003939,0.004326,0.00187,0.262807","0.0,0.0,0.0,0.035729,0.096726,0.0,0.0",1-win
Cc9yVA3tw6tYKxltQ7,"40,175,26","40,51,37,33","0.0,0.093543,0.445993","0.0,0.0,0.0,0.018048",1-win
C5tx8B4gY37VIAPHvb,"40,175,26","40,51,37,33","0.0,0.140836,0.464253","0.0,0.001188,0.000717,0.026707",1-win
CU2kdNEJ54wP1g9xl,"40,175,26","40,51,37,33","0.0,0.206417,0.48186","0.0,0.00119,0.000068,0.022666",1-win
CZpSGr2xi2wTBE3TA7,"40,175,26","40,51,37,33","0.0,0.223827,0.514072","0.0,0.0,0.000075,0.019999",1-win
CNcC2e4FCbQMY5qsxd,"40,175,26","40,51,37,33","0.0,0.228877,0.556317","0.0,0.000767,0.0,0.022635",1-win
CqgVc836PHk0q3Q75j,"40,175,26","40,51,37,33","0.0,0.232241,0.571583","0.0,0.0,0.002562,0.028541",1-win
Cp8vKCgMGtTkvoV9i,"40,158,41,26","40,51,37,33","0.0,1.549759,0.000599,0.121785","0.0,0.0,0.001203,0.031302",1-win
CsjTyV65UT97waHe7,"40,158,259,33,41,26","40,51,37,33,299,1425,1425,1425,1318,41","0.0,0.955577,0.002954,0.139023,0.021384,0.110665","0.0,0.0,0.0,0.027892,0.01722,0.014043,0.000038,0.00003,0.0,0.0",1-win
C96qc3evNSbHZ4d0c,"40,158,725,33,41,26","40,51,37,33,129,41","0.0,0.710831,0.001816,0.008871,0.06686,0.045852","0.0,0.000632,0.000636,0.038755,0.02292,0.010397",1-win
CRzc5PERvktieVh77,"40,175,26","40,51,37,33","0.0,0.271442,0.07008","0.0,0.0,0.0,0.02291",1-win
C63A1s2V1pMtonouaf,"40,175,26","40,51,37,33","0.0,0.0112,0.027082","0.0,0.0,0.0,0.018984",1-win
CDLDa43V0PnGwIQ4ig,"40,1235,26","40,815,40,1160,2072,1824","0.0,0.005593,0.021111","0.0,0.026169,0.0,0.004967,0.000071,0.000136",1-win
C4iiok365rRIjVaFT7,"40,26",40,"0.0,5.251719",0.0,1-win
CLtLxf1trB5oY7o55l,"40,175,26","40,51,37,33","0.0,0.004201,0.033946","0.0,0.004746,0.0,0.013479",1-win
CTX9fo1oqhho6CLCG1,"40,158,351,33,41,26","40,51,37,33,669,75,41","0.0,0.198784,0.00059,0.06952,0.044274,0.061713","0.0,0.002081,0.0,0.278638,0.150801,0.007699,0.00245",1-win
Cda5AP626f2J6Xpe8,"40,175,26","40,51,37,33","0.0,0.106308,0.109384","0.0,0.000987,0.0,0.021597",1-win
CKmZ1y3x8Pgn6f7Aok,"40,158,41,26","40,51,37,33","0.0,0.112752,0.002726,0.125989","0.0,0.000823,0.0,0.016902",1-win
C4ypFZ1ozlPTmSm6zl,"40,26","40,26","0.0,5.270577","0.0,0.189962",1-win
Cq7Dyx3PuyXZZzxSFd,"40,696,730,726,729","40,1278,4257,972,1210,26","0.0,0.124512,0.417572,0.341141,0.644813","0.0,0.192093,0.194214,0.208685,0.212378,61.000125",1-win
CXaQSP2iZaEkStBSlc,"40,1624,26","40,809,16408,16408,16408,16408,16408,16408,15177","0.0,0.255751,30.141531","0.0,0.026533,0.01407,0.045105,0.022432,0.013694,0.026135,0.038417,0.024372",1-win
CT83yG17T4hqpvu7x5,"40,1622,26","40,808,16408,16408,16408,16408","0.0,0.240272,30.180339","0.0,0.061312,0.08054,0.072926,0.010556,0.015445",1-win
C9RCKzHANwn3WXedj,"40,4339","40,151,26","0.0,0.207756","0.0,0.390826,60.291947",1-win
Cdbuds2VqgSXFo81z,"40,158,33,41,41,41,41,26","40,51,37,33,41,41,41","0.0,0.02448,0.002683,62.528234,60.659673,60.959111,4.883234,0.017689","0.0,0.00025,0.0,0.020863,0.024165,0.017583,0.0284",1-win
