uid,orig_spl,resp_spl,orig_spt,resp_spt,label
CXr7L6cOZbIauwbRg,"40,240,256","40,416,96","0.0,1.429757,0.001304","0.0,0.075274,0.0",white
CECdvs1BrHLTjQ34N8,"40,128,232,248,192,240,256","40,424,64,32,440,96,32,584,32,488","0.0,1.416024,0.126268,0.001217,0.021096,0.015467,0.001194","0.0,0.069689,0.0003,0.0,0.100516,0.0,0.0,0.067173,0.0,0.06607",white
CfcDrF3X1dUp4DBOj7,"40,344","40,352,32","0.0,1.301637","0.0,0.033732,0.0",white
Cdl2TE21jlah0B2rzg,"40,240,256","40,488","0.0,0.026302,0.000889","0.0,0.075511",white
CYXDCo4uQfrdIOtRX1,"40,148,26","40,168,26","0.0,0.01632,0.014776","0.0,0.020457,0.0",white
C92AKn4NZWP8DRhCNf,"32,982","32,132","0.0,0.426468","0.0,0.183826",white
C9dWtT1mOeAe9gEsGk,"40,856","40,144","0.0,0.610305","0.0,0.240823",white
CFhOWf2mLAt6P0Mlx8,40,40,0.0,0.0,white
CfcA151cz1i6OEaEP1,40,40,0.0,0.0,white
CEtBok2Rci5s4Qhn27,"40,336","40,496,232,32","0.0,2.522225","0.0,0.316426,0.0,0.00038",white
C1m7Aj4CGLzZnpuJQ6,40,40,0.0,0.0,white
CEmz6Q2yyJQGo3Aby,"40,280,368,272,352","40,504,32,432,248,32","0.0,0.094465,0.00242,0.037236,0.021074","0.0,0.123849,0.0,0.061523,0.0,0.0",white
CZUlwQNRuY9DRUm62,40,40,0.0,0.0,white
Cufo1duYk89VI6Uq4,40,40,0.0,0.0,white
CsmXpi21cj55xdGsJ5,40,40,0.0,0.0,white
CuzGhz2k6FQJqiA0Ih,40,40,0.0,0.0,white
CFosUeM80j8TU4Auh,40,40,0.0,0.0,white
CbAlEw1FALJ2UjQru6,40,40,0.0,0.0,white
Ct9BBt2zjqZxMPugZ8,40,40,0.0,0.0,white
CdG2Bf3ll0h1ylcMD1,"40,616","40,3368,24","0.0,0.058156","0.0,0.032171,0.0",white
Cm58sJ2cp0eU6Ndmkl,40,40,0.0,0.0,white
CnJCDi2esba3YjGH5f,40,40,0.0,0.0,white
CdW9R41r2dkplQYv03,"40,336,336","40,472,232,32,480,400,32","0.0,0.028753,0.04457","0.0,0.108523,0.0,0.000123,0.093006,0.0,0.000427",white
