#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	spl
#open	2021-05-09-13-37-16
#fields	uid	orig_spl	resp_spl	orig_spt	resp_spt
#types	string	vector[count]	vector[count]	vector[double]	vector[double]
CXr7L6cOZbIauwbRg	40,240,256	40,416,96	0.0,1.429757,0.001304	0.0,0.075274,0.0
CECdvs1BrHLTjQ34N8	40,128,232,248,192,240,256	40,424,64,32,440,96,32,584,32,488	0.0,1.416024,0.126268,0.001217,0.021096,0.015467,0.001194	0.0,0.069689,0.0003,0.0,0.100516,0.0,0.0,0.067173,0.0,0.06607
CfcDrF3X1dUp4DBOj7	40,344	40,352,32	0.0,1.301637	0.0,0.033732,0.0
Cdl2TE21jlah0B2rzg	40,240,256	40,488	0.0,0.026302,0.000889	0.0,0.075511
CYXDCo4uQfrdIOtRX1	40,148,26	40,168,26	0.0,0.01632,0.014776	0.0,0.020457,0.0
C92AKn4NZWP8DRhCNf	32,982	32,132	0.0,0.426468	0.0,0.183826
C9dWtT1mOeAe9gEsGk	40,856	40,144	0.0,0.610305	0.0,0.240823
CFhOWf2mLAt6P0Mlx8	40	40	0.0	0.0
CfcA151cz1i6OEaEP1	40	40	0.0	0.0
CEtBok2Rci5s4Qhn27	40,336	40,496,232,32	0.0,2.522225	0.0,0.316426,0.0,0.00038
C1m7Aj4CGLzZnpuJQ6	40	40	0.0	0.0
CEmz6Q2yyJQGo3Aby	40,280,368,272,352	40,504,32,432,248,32	0.0,0.094465,0.00242,0.037236,0.021074	0.0,0.123849,0.0,0.061523,0.0,0.0
CZUlwQNRuY9DRUm62	40	40	0.0	0.0
Cufo1duYk89VI6Uq4	40	40	0.0	0.0
CsmXpi21cj55xdGsJ5	40	40	0.0	0.0
CuzGhz2k6FQJqiA0Ih	40	40	0.0	0.0
CFosUeM80j8TU4Auh	40	40	0.0	0.0
CbAlEw1FALJ2UjQru6	40	40	0.0	0.0
Ct9BBt2zjqZxMPugZ8	40	40	0.0	0.0
CdG2Bf3ll0h1ylcMD1	40,616	40,3368,24	0.0,0.058156	0.0,0.032171,0.0
Cm58sJ2cp0eU6Ndmkl	40	40	0.0	0.0
CnJCDi2esba3YjGH5f	40	40	0.0	0.0
CdW9R41r2dkplQYv03	40,336,336	40,472,232,32,480,400,32	0.0,0.028753,0.04457	0.0,0.108523,0.0,0.000123,0.093006,0.0,0.000427
CyF93g4fIMuKWbLAZd	40,272,400,272,384	40,432,272,32,488,32	0.0,2.589098,0.004387,0.835099,0.002414	0.0,0.109766,0.000169,0.0,0.120468,0.0
CxqFfU0j3OfHImQcb	40,272	40,520	0.0,1.980513	0.0,0.245491
CX3JsK1qeub8HshBS4	40	40	0.0	0.0
CDQuiY1hXDLXRScAb2	32,393	32,132	0.0,0.512928	0.0,0.231972
CUC9IVUPtVKYrDFmh	40	40	0.0	0.0
C7d7Ke1k6CfkqQnNdl	40	40	0.0	0.0
CYPVLB2dT1v6JQRaf	40	40	0.0	0.0
CSvu31yNV6MgkS7i	40	40	0.0	0.0
CcoQTy3sRhcOs2tWSf	40	40	0.0	0.0
CcWZaJ2aQTOilTZk49	40	40	0.0	0.0
CWb5s22qAyg4nQy89e	40	40	0.0	0.0
ChF0l745JsYWnwrwaa	40,148,26	40,168,26	0.0,0.007213,0.004692	0.0,0.022788,0.0
CjT0dh3tF67Sr5UfAi	40,208,576	40,216,24	0.0,1.54271,0.002272	0.0,0.059243,0.0
CjjC8y3z3DoIX4gsvd	40	40	0.0	0.0
CwtwoTuKkzPWYsxn9	40	40	0.0	0.0
CyUvrS25HZ555EXSg5	40	40	0.0	0.0
Cricsm4FzHp4mxsfB5	40	40	0.0	0.0
CGnuVn2hXaIlirFMrd	40	40	0.0	0.0
CsGBnBH5Vk5V0CyT4	40	40	0.0	0.0
C65BKi1v4ta0LSsSpb	40	40	0.0	0.0
CEFLVIovk4mZujAFh	40	40	0.0	0.0
CHmdn6b8Cjurhsjj2	40	40	0.0	0.0
CZI3c41v35hiFpendb	40	40	0.0	0.0
CKE77q43Ka337h3XAf	40	40	0.0	0.0
CdkED11NRj3KfxQbLa	40	40	0.0	0.0
CCpCxgRqJtBkFicQi	40	40	0.0	0.0
CDhXFq1oeHfXhC6nb5	40	40	0.0	0.0
Cmd0x2Gdsleey51i6	40	40	0.0	0.0
CcizPO2ZzjRfgUHN9h	32,391	32,132	0.0,0.468891	0.0,0.237491
CGMcJ71ZwWhNxEUnk8	40,181,26	40,163	0.0,0.005895,0.001736	0.0,0.021463
CBu82v32dTV6hIxNIj	40	40	0.0	0.0
CgAFji4SyPb3IBpUNd	40,576	40,3368,24	0.0,0.143172	0.0,0.035136,0.000046
CTza6pqeeYY75wad3	36,599,22	36,22	0.0,0.014428,0.00897	0.0,0.012576
C6S2p03PITjonVBZU	40	40	0.0	0.0
CQ9Xpt3CySUpRan3g2	40	40	0.0	0.0
Cbk6SjrhP5PZvbRn8	40,280	40,24	0.0,0.027924	0.0,4.658845
Cqtmf32v8yBtlR42oj	32,391	32,132	0.0,1.158946	0.0,0.237611
CFYJ6F2qcbGzJCveO5	40,544	40,744	0.0,1.02561	0.0,1.957845
CvuVUm4hWloNxCX0ng	40	40	0.0	0.0
CDZPmjbNppkBifGc6	40	40	0.0	0.0
CmuIi4jphoCHQHjG5	40	40	0.0	0.0
C4v2DP28vMyMSCura2	40	40	0.0	0.0
ChNHb63VBACxbmvul1	40	40	0.0	0.0
CLrINT1HItsd6xjvaf	40,354,26	40,772	0.0,0.01457,0.00413	0.0,0.02443
CBRqls3kZkErrmfwSg	40	40	0.0	0.0
CtXjbC1PHExfluxiue	40,408,424	40,24,184,24,440	0.0,5.435807,0.003356	0.0,0.240459,0.0,0.243391,0.0
C0ycPu1Zqads3hBQdd	40,408,424	40,24,184,24,440	0.0,2.802114,0.003436	0.0,0.299886,0.0,0.300812,0.0
CZ4li913FTdkIsiV9b	40,408,424	40,24,184,24,440	0.0,5.440028,0.0062	0.0,0.056967,0.0,0.057067,0.0
CVO0xp4iP0RPbC8Wsk	40,408,424	40,24,184,24,440	0.0,3.896104,0.003886	0.0,0.058911,0.0,0.059102,0.0
CdHpXdsSiR5HpvqR4	40,408,424	40,24,184,24,440	0.0,2.664526,0.016496	0.0,0.233473,0.0,0.695013,0.0
CqFxZuW7BSzWt1y5i	40	40	0.0	0.0
C5KRy22vJZTdTgwgo1	40	40	0.0	0.0
CHpQd629LJLAuUGbfb	32,1163,36	32,132	0.0,0.504215,0.001152	0.0,0.675643
CViH8C4KbmMfAG46Gg	40	40	0.0	0.0
Cesvb836pT5oNf10v8	40	40	0.0	0.0
CAM6Ip4tpDOBaMpu4j	32,80,124,25	32,56,25,728,25	0.0,0.02193,0.013311,0.012583	0.0,0.000385,0.007832,0.006511,0.0
Cpl30z3bepm6sw2516	32,80,118,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29	32,56,25,1126,16400,16400,52,16400,16400,52,16400,16400,52,16400,16400,52,16400,16400,52,16400	0.0,0.00435,0.009507,0.005318,0.000138,0.034593,0.012345,0.025759,0.007511,0.034277,0.008538,0.019616,0.011392,0.011736,0.015374,0.019849,0.006033,0.020682,0.006762,0.01865	0.0,0.000176,0.006398,0.004155,0.008288,0.003003,0.0,0.003411,0.002319,0.000013,0.016617,0.00267,0.0,0.003738,0.002984,0.0,0.011027,0.00263,0.0,0.003182
CH0hxOknqDu2VKPQg	40	40	0.0	0.0
CvhREt1FVtKHidW6L9	40	40	0.0	0.0
CK8jje2fx6z90XSH8j	40,424,440	40,24,184,24,440	0.0,6.362164,0.020717	0.0,0.388171,0.0,0.442209,0.0
CQ9HCK1gx6Yrulsqlc	40,424,440	40,24,184,24,440	0.0,4.965435,0.003179	0.0,0.250565,0.0,0.250084,0.0
C4HRWg4YShkspHknk7	40,424,440	40,24,184,24,440	0.0,6.691338,0.003184	0.0,0.201724,0.0,0.201596,0.0
Ctm9Pv3ugvzqeDZRn	40,424,440	40,24,184,24,440	0.0,3.902379,0.01242	0.0,0.362605,0.0,0.36258,0.0
Cx0vR31QeP3wbzOSr1	32,190	32,271	0.0,3.386386	0.0,0.224177
