datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-all,lr,0.7713567839195979,0.8703087885985749,0.7703952901597981,1.0,0.5089928057553956
cicandmal2017-all,svm,0.7713567839195979,0.8699380657455932,0.7717666948436179,0.9967248908296943,0.5127509346234802
cicandmal2017-all,mlp_keras,0.8115577889447236,0.8899755501222494,0.8060230292294066,0.9934497816593887,0.6028399987433635
cicandmal2017-all,dt,0.8576214405360134,0.9146586345381525,0.8466542750929368,0.9945414847161572,0.7005081524300211
cicandmal2017-all,rf,0.8417085427135679,0.9055472263868066,0.8350230414746543,0.9890829694323144,0.6725990386729918
cicandmal2017-all,xgboost,0.8525963149078727,0.9123505976095617,0.8388278388278388,1.0,0.6834532374100719
cicandmal2017-all,lightgbm,0.8450586264656617,0.9082796232027764,0.8319709355131698,1.0,0.6672661870503598
cicandmal2017-all,catboost,0.8232830820770519,0.8965179009318293,0.8138913624220837,0.9978165938864629,0.6230090163676919
cicandmal2017-all,deepforest,0.8341708542713567,0.9022704837117473,0.8234234234234235,0.9978165938864629,0.6463903113317206
cicandmal2017-all,knn,0.8123953098827471,0.8886679920477137,0.8156934306569343,0.9759825327510917,0.6246819138575602
cicandmal2017-all,hmm,0.5946398659966499,0.7105263157894738,0.7857142857142857,0.648471615720524,0.5328689013854419
cicandmal2017-all,hard,0.8199329983249581,0.8948655256723715,0.8104517271922055,0.9989082969432315,0.6145620621406804
cicandmal2017-all,soft,0.8140703517587939,0.891812865497076,0.8054577464788732,0.9989082969432315,0.6019721340831266
cicandmal2017-all,stacking,0.890284757118928,0.9325090159711489,0.8829268292682927,0.9879912663755459,0.7781682950582766
cicandmal2017-all,bayes_ensemble,0.8509212730318257,0.9114427860696518,0.8372943327239488,1.0,0.6798561151079137
