datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-all,lr,0.2068676716917923,0.33168666196189134,0.469061876247505,0.25655021834061137,0.1498578429832553
cicandmal2017-all,svm,0.20854271356783918,0.3283582089552239,0.47046843177189407,0.2521834061135371,0.15846580377619304
cicandmal2017-all,mlp_keras,0.24120603015075376,0.3308714918759232,0.5114155251141552,0.2445414847161572,0.23737865602714336
cicandmal2017-all,dt,0.6088777219430486,0.7215265354800238,0.7950065703022339,0.6604803493449781,0.5496646351041438
cicandmal2017-all,rf,0.4899497487437186,0.6103646833013435,0.7372488408037094,0.5207423580786026,0.45461578335584807
cicandmal2017-all,xgboost,0.542713567839196,0.6682867557715675,0.7534246575342466,0.6004366812227074,0.4764773334171091
cicandmal2017-all,lightgbm,0.5862646566164154,0.7141203703703705,0.7598522167487685,0.6735807860262009,0.4860709685526688
cicandmal2017-all,catboost,0.4304857621440536,0.5685279187817259,0.6787878787878788,0.4890829694323144,0.36324652068738017
cicandmal2017-all,deepforest,0.7973199329983249,0.8782696177062375,0.8143656716417911,0.9530567685589519,0.6186147152147278
cicandmal2017-all,knn,0.6993299832495813,0.8066774367259021,0.79596174282678,0.8176855895196506,0.5635190537526311
cicandmal2017-all,hmm,0.2705192629815745,0.32428238944918547,0.5603217158176944,0.22816593886462883,0.31911894065533597
cicandmal2017-all,hard,0.3609715242881072,0.49099399599733157,0.6312178387650086,0.4017467248908297,0.31418271496340044
cicandmal2017-all,soft,0.38107202680067004,0.5166775670372792,0.6443719412724307,0.43122270742358076,0.3235250227765386
cicandmal2017-all,stacking,0.8860971524288107,0.9253567508232711,0.9304635761589404,0.9203056768558951,0.846843485909962
cicandmal2017-all,bayes_ensemble,0.7973199329983249,0.8782696177062375,0.8143656716417911,0.9530567685589519,0.6186147152147278
