datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-all,lr,0.22529313232830822,0.3562978427279053,0.491362763915547,0.2794759825327511,0.16311928623040434
cicandmal2017-all,svm,0.2068676716917923,0.3269367448471926,0.4684317718940937,0.25109170305676853,0.15612139109672957
cicandmal2017-all,mlp_keras,0.3542713567839196,0.474437627811861,0.631578947368421,0.3799126637554585,0.3248484182086645
cicandmal2017-all,dt,0.3844221105527638,0.48348559381588185,0.6785009861932939,0.37554585152838427,0.39460745813829284
cicandmal2017-all,rf,0.46733668341708545,0.5891472868217055,0.7215189873417721,0.4978165938864629,0.43236153435330343
cicandmal2017-all,xgboost,0.7571189279731994,0.8468848996832101,0.820040899795501,0.8755458515283843,0.6212261631742642
cicandmal2017-all,lightgbm,0.8082077051926299,0.8849824208940231,0.8195348837209302,0.9617903930131004,0.6319743331971976
cicandmal2017-all,catboost,0.7872696817420436,0.8724899598393573,0.8076208178438662,0.9486899563318777,0.6020428198925575
cicandmal2017-all,deepforest,0.8140703517587939,0.8897715988083417,0.8160291438979964,0.9781659388646288,0.6257736169143288
cicandmal2017-all,knn,0.7353433835845896,0.8343815513626834,0.8024193548387096,0.868995633187773,0.5819798309823756
cicandmal2017-all,hmm,0.45979899497487436,0.5708582834331337,0.7308347529812607,0.4683406113537118,0.4499976438063523
cicandmal2017-all,hard,0.6256281407035176,0.7526286662977312,0.7631874298540965,0.74235807860262,0.49168263642361215
cicandmal2017-all,soft,0.6633165829145728,0.7845659163987139,0.7705263157894737,0.7991266375545851,0.5074769878420408
cicandmal2017-all,stacking,0.8919597989949749,0.929159802306425,0.9348066298342541,0.9235807860262009,0.8556752850994314
cicandmal2017-all,bayes_ensemble,0.8157453936348409,0.8910891089108911,0.8152173913043478,0.982532751091703,0.6243599007257077
