datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-all,lr,0.7705192629815746,0.8688995215311005,0.7734241908006815,0.9912663755458515,0.5172159215858754
cicandmal2017-all,svm,0.7696817420435511,0.8675974963890227,0.7760551248923342,0.9836244541484717,0.5241863277936604
cicandmal2017-all,mlp_keras,0.7688442211055276,0.8611670020120724,0.7985074626865671,0.9344978165938864,0.5787596996638497
cicandmal2017-all,dt,0.7336683417085427,0.8260393873085338,0.8278508771929824,0.824235807860262,0.6297438032107066
cicandmal2017-all,rf,0.7663316582914573,0.8533893851812928,0.8226950354609929,0.8864628820960698,0.628483239609186
cicandmal2017-all,xgboost,0.804857621440536,0.8813041263372389,0.8261700095510984,0.9443231441048034,0.6448234425559989
cicandmal2017-all,lightgbm,0.8073701842546064,0.8838383838383839,0.8223684210526315,0.9552401746724891,0.6376920297822878
cicandmal2017-all,catboost,0.8031825795644891,0.8834903321764997,0.8092643051771117,0.972707423580786,0.6086558700637743
cicandmal2017-all,deepforest,0.804857621440536,0.8832080200501252,0.8164967562557924,0.9617903930131004,0.6247800885928811
cicandmal2017-all,knn,0.7520938023450586,0.8459937565036422,0.8081510934393639,0.8875545851528385,0.5966549904181458
cicandmal2017-all,hmm,0.6038525963149078,0.7196206283343213,0.7872892347600519,0.6626637554585153,0.5363678489522792
cicandmal2017-all,hard,0.8065326633165829,0.8858131487889274,0.8093947606142728,0.9781659388646288,0.6095865665546165
cicandmal2017-all,soft,0.8090452261306532,0.8877952755905513,0.8082437275985663,0.9847161572052402,0.6074659922716849
cicandmal2017-all,stacking,0.8031825795644891,0.8814926878466969,0.8191190253045924,0.9541484716157205,0.6299519336495869
cicandmal2017-all,bayes_ensemble,0.8040201005025126,0.8833499501495514,0.8128440366972477,0.9672489082969432,0.6167179793283277
