datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-spl,lr,0.7613065326633166,0.8644793152639088,0.7613065326633166,1.0,0.5
cicandmal2017-spl,svm,0.7621440536013401,0.8648905803996194,0.7619446772841576,1.0,0.5017543859649123
cicandmal2017-spl,mlp_keras,0.7931323283082077,0.8799222168206126,0.7883275261324042,0.9955995599559956,0.5714839905043136
cicandmal2017-spl,dt,0.8609715242881072,0.916076845298281,0.8475210477081384,0.9966996699669967,0.7123849227027965
cicandmal2017-spl,rf,0.8492462311557789,0.9090909090909091,0.8403361344537815,0.9900990099009901,0.695049504950495
cicandmal2017-spl,xgboost,0.8350083752093802,0.9022332506203474,0.8218806509945751,1.0,0.6543859649122807
cicandmal2017-spl,lightgbm,0.8324958123953099,0.9008919722497521,0.8196573489630298,1.0,0.6491228070175439
cicandmal2017-spl,catboost,0.8174204355108877,0.8929273084479372,0.8065661047027507,1.0,0.6175438596491227
cicandmal2017-spl,deepforest,0.8291457286432161,0.8988095238095237,0.8184281842818428,0.9966996699669967,0.6457182560361299
cicandmal2017-spl,knn,0.8165829145728644,0.8912071535022354,0.8125,0.9867986798679867,0.6302414451971512
cicandmal2017-spl,hmm,0.8023450586264657,0.8576598311218334,0.9492656875834445,0.7821782178217822,0.8244224422442245
cicandmal2017-spl,hard,0.8157453936348409,0.8920510304219823,0.8051372896368467,1.0,0.6140350877192983
cicandmal2017-spl,soft,0.7973199329983249,0.8825242718446602,0.789748045178106,1.0,0.5754385964912281
cicandmal2017-spl,stacking,0.8886097152428811,0.931052358735096,0.8803921568627451,0.9878987898789879,0.7799143072201957
cicandmal2017-spl,bayes_ensemble,0.8743718592964824,0.9229979466119097,0.865255052935515,0.988998899889989,0.7488854148572752
