datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-spl,lr,0.19430485762144054,0.3234880450070323,0.44834307992202727,0.253025302530253,0.13002142319495108
cicandmal2017-spl,svm,0.19597989949748743,0.323943661971831,0.4500978473581213,0.253025302530253,0.13353019512477565
cicandmal2017-spl,mlp_keras,0.2185929648241206,0.3292595255212078,0.475103734439834,0.25192519251925194,0.18210294713681896
cicandmal2017-spl,dt,0.644891122278057,0.7523364485981308,0.8019925280199253,0.7084708470847084,0.5752880551213015
cicandmal2017-spl,rf,0.6415410385259631,0.7545871559633027,0.7880239520958083,0.7238723872387238,0.5514098778298883
cicandmal2017-spl,xgboost,0.7462311557788944,0.8399366085578447,0.8079268292682927,0.8745874587458746,0.6057147820045163
cicandmal2017-spl,lightgbm,0.49246231155778897,0.6236024844720496,0.7161198288159771,0.5522552255225522,0.42700480574373234
cicandmal2017-spl,catboost,0.5603015075376885,0.6994848311390957,0.7291169451073986,0.6721672167216721,0.4378379943257483
cicandmal2017-spl,deepforest,0.7973199329983249,0.8780241935483871,0.8102325581395349,0.9581958195819582,0.6212031729488738
cicandmal2017-spl,knn,0.7814070351758794,0.8664961636828645,0.8097514340344169,0.9317931793179318,0.6167737826414221
cicandmal2017-spl,hmm,0.21105527638190955,0.2831050228310502,0.45925925925925926,0.20462046204620463,0.21809970470731288
cicandmal2017-spl,hard,0.47571189279731996,0.6210653753026634,0.6904441453566622,0.5643564356435643,0.3786694458919576
cicandmal2017-spl,soft,0.6289782244556114,0.7606699081577525,0.7473460721868365,0.7744774477447744,0.4696948642232644
cicandmal2017-spl,stacking,0.8651591289782244,0.9074180563542266,0.9506024096385542,0.8679867986798679,0.8620635747785305
cicandmal2017-spl,bayes_ensemble,0.8098827470686767,0.8858722976370036,0.8157407407407408,0.9691969196919692,0.6354756528284408
