datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-spl,lr,0.7621440536013401,0.8647619047619047,0.762384550797649,0.9988998899889989,0.502958716924324
cicandmal2017-spl,svm,0.7621440536013401,0.8645038167938932,0.7632687447346251,0.9966996699669967,0.5053673788431475
cicandmal2017-spl,mlp_keras,0.7663316582914573,0.8635696821515892,0.7772887323943662,0.9713971397139713,0.5418389207341786
cicandmal2017-spl,dt,0.7470686767169179,0.8353326063249726,0.8281081081081081,0.8426842684268426,0.6423947657923688
cicandmal2017-spl,rf,0.7596314907872697,0.8477453580901857,0.8186475409836066,0.878987898789879,0.6289676336054657
cicandmal2017-spl,xgboost,0.7914572864321608,0.8721109399075501,0.8179190751445087,0.933993399339934,0.635417752301546
cicandmal2017-spl,lightgbm,0.7998324958123953,0.8791097622660596,0.8136704119850188,0.9559955995599559,0.6288749927624342
cicandmal2017-spl,catboost,0.7964824120603015,0.8802365697387876,0.7973214285714286,0.9823982398239824,0.5929535058769035
cicandmal2017-spl,deepforest,0.7964824120603015,0.8774583963691377,0.8100558659217877,0.9570957095709571,0.6206531179433733
cicandmal2017-spl,knn,0.7546063651591289,0.8476339053562142,0.8037475345167653,0.8965896589658966,0.5991720224654045
cicandmal2017-spl,hmm,0.6700167504187605,0.7883995703544576,0.770199370409234,0.8074807480748075,0.5195298477216144
cicandmal2017-spl,hard,0.7956448911222781,0.880039331366765,0.7955555555555556,0.9845984598459846,0.5887904579931678
cicandmal2017-spl,soft,0.7922948073701842,0.8787878787878788,0.7906772207563765,0.988998899889989,0.5769555902958716
cicandmal2017-spl,stacking,0.8056951423785594,0.8842315369261476,0.8091324200913242,0.9746974697469747,0.6206820682068207
cicandmal2017-spl,bayes_ensemble,0.7922948073701842,0.8775913129318854,0.7958818263205013,0.977997799779978,0.588998899889989
