datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-tls,lr,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,svm,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,mlp_keras,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,dt,0.8056951423785594,0.8877057115198452,0.8022747156605424,0.9934994582881906,0.5797755594023979
cicandmal2017-tls,rf,0.7956448911222781,0.8831417624521073,0.7914163090128755,0.9989165763813651,0.5511188047958486
cicandmal2017-tls,xgboost,0.7981574539363484,0.8845232390991855,0.7929553264604811,1.0,0.5553505535055351
cicandmal2017-tls,lightgbm,0.7956448911222781,0.8832535885167464,0.790916880891174,1.0,0.5498154981549815
cicandmal2017-tls,catboost,0.7956448911222781,0.8832535885167464,0.790916880891174,1.0,0.5498154981549815
cicandmal2017-tls,deepforest,0.7989949748743719,0.8848368522072937,0.7941429801894918,0.9989165763813651,0.5584988785965865
cicandmal2017-tls,knn,0.8207705192629816,0.8955078125,0.8151111111111111,0.9934994582881906,0.6129858915057189
cicandmal2017-tls,hmm,0.4715242881072027,0.5397520058351568,0.8258928571428571,0.4008667388949079,0.5565219303330627
cicandmal2017-tls,hard,0.7931323283082077,0.8819875776397516,0.7888888888888889,1.0,0.5442804428044281
cicandmal2017-tls,soft,0.7830820770519263,0.876959619952494,0.7808798646362098,1.0,0.5221402214022139
cicandmal2017-tls,stacking,0.8324958123953099,0.9010880316518298,0.8289353958143767,0.9869989165763814,0.6466359896535043
cicandmal2017-tls,bayes_ensemble,0.8082077051926299,0.8896385542168675,0.8012152777777778,1.0,0.5774907749077491
