datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-tls,lr,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,svm,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,mlp_keras,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,dt,0.4656616415410385,0.6170468187274909,0.6917900403768507,0.5568797399783315,0.35593064489691484
cicandmal2017-tls,rf,0.7579564489112228,0.855860349127182,0.7929759704251387,0.9295774647887324,0.5515045995530378
cicandmal2017-tls,xgboost,0.7587939698492462,0.8589618021547503,0.7837354781054513,0.9501625135427952,0.5285867918267482
cicandmal2017-tls,lightgbm,0.7830820770519263,0.8753009147809342,0.7876949740034662,0.9848320693391116,0.5403865143743528
cicandmal2017-tls,catboost,0.7939698492462312,0.8824091778202676,0.7895637296834902,1.0,0.5461254612546125
cicandmal2017-tls,deepforest,0.7738693467336684,0.8686770428015564,0.7881729920564872,0.9674972914409534,0.5409442176761963
cicandmal2017-tls,knn,0.6850921273031826,0.8079673135852912,0.7642512077294686,0.856988082340195,0.478309539325079
cicandmal2017-tls,hmm,0.4991624790619765,0.5722460658082976,0.8421052631578947,0.4333694474539545,0.5783083399631396
cicandmal2017-tls,hard,0.788107202680067,0.8790052606408417,0.7868150684931506,0.9956663055254604,0.5384235586667893
cicandmal2017-tls,soft,0.7906197654941374,0.8804971319311663,0.787852865697177,0.9978331527627302,0.5413520007356086
cicandmal2017-tls,stacking,0.7922948073701842,0.8793774319066147,0.7978817299205648,0.9794149512459371,0.5671982505307177
cicandmal2017-tls,bayes_ensemble,0.7922948073701842,0.881453154875717,0.7887082976903336,0.9989165763813651,0.5437387309951106
