datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-tls,lr,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,svm,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,mlp_keras,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,dt,0.42462311557788945,0.5772307692307692,0.6680911680911681,0.5081256771397616,0.3241735396768919
cicandmal2017-tls,rf,0.6909547738693468,0.8085106382978723,0.7758964143426295,0.8439869989165764,0.5068643481667753
cicandmal2017-tls,xgboost,0.7470686767169179,0.8509378084896349,0.7815049864007253,0.933911159263272,0.522306133137171
cicandmal2017-tls,lightgbm,0.7814070351758794,0.8738521024649588,0.7888307155322862,0.9794149512459371,0.5432130106783192
cicandmal2017-tls,catboost,0.7772194304857621,0.8716216216216217,0.7859007832898173,0.9783315276273022,0.5352912250682637
cicandmal2017-tls,deepforest,0.7629815745393634,0.8598315998018822,0.791970802919708,0.9404117009750813,0.5495416438454742
cicandmal2017-tls,knn,0.6574539363484088,0.7834833245103231,0.7660455486542443,0.8017334777898159,0.4838925691532105
cicandmal2017-tls,hmm,0.45142378559463986,0.5115585384041759,0.8205741626794258,0.37161430119176597,0.5474307668320453
cicandmal2017-tls,hard,0.788107202680067,0.8788894207754907,0.7873070325900514,0.9945828819068255,0.5397268653076562
cicandmal2017-tls,soft,0.7864321608040201,0.8780487804878048,0.785958904109589,0.9945828819068255,0.5360368284072873
cicandmal2017-tls,stacking,0.7914572864321608,0.8788321167883212,0.7977031802120141,0.9783315276273022,0.5666565387214002
cicandmal2017-tls,bayes_ensemble,0.7922948073701842,0.8815663801337154,0.7882152006831767,1.0,0.5424354243542435
