datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017-tls,lr,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,svm,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,mlp_keras,0.7730318257956449,0.8719886632026453,0.7730318257956449,1.0,0.5
cicandmal2017-tls,dt,0.7269681742043551,0.8351870576339737,0.7829383886255924,0.894907908992416,0.5249447294039571
cicandmal2017-tls,rf,0.7370184254606366,0.8414141414141414,0.7880794701986755,0.9024918743228603,0.5379618043201017
cicandmal2017-tls,xgboost,0.7546063651591289,0.8561610211094748,0.7827648114901257,0.9447453954496208,0.525878232780161
cicandmal2017-tls,lightgbm,0.7613065326633166,0.8610433934666015,0.7828014184397163,0.9566630552546046,0.5263020073320994
cicandmal2017-tls,catboost,0.7688442211055276,0.8661493695441319,0.7840210711150132,0.9674972914409534,0.5298741069750893
cicandmal2017-tls,deepforest,0.7529313232830821,0.8547513540128017,0.7833935018050542,0.9404117009750813,0.5274014224432602
cicandmal2017-tls,knn,0.7621440536013401,0.8614634146341462,0.7834960070984915,0.9566630552546046,0.5281470257822839
cicandmal2017-tls,hmm,0.42797319932998323,0.47981721249047987,0.8076923076923077,0.3412784398699892,0.532262836171157
cicandmal2017-tls,hard,0.7738693467336684,0.8698167791706847,0.7836663770634231,0.9772481040086674,0.5292144579083927
cicandmal2017-tls,soft,0.7747068676716918,0.8702363724071394,0.7843478260869565,0.9772481040086674,0.5310594763585772
cicandmal2017-tls,stacking,0.7747068676716918,0.8703614457831326,0.7838541666666666,0.9783315276273022,0.5297561697177102
cicandmal2017-tls,bayes_ensemble,0.7755443886097152,0.8710298363811357,0.7835497835497836,0.980498374864572,0.5289945748861605
