datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017,lr,0.7668480535789033,0.8677273806696747,0.7670025188916877,0.9989065062875888,0.5039175388580801
cicandmal2017,svm,0.7655922980326496,0.8669201520912546,0.7667087011349306,0.9972662657189721,0.5030974185737718
cicandmal2017,mlp_keras,0.7743825868564252,0.8675350208896535,0.7879464285714286,0.965008201202843,0.5583969577442787
cicandmal2017,dt,0.7228966094600251,0.8175303197353914,0.8243468593663146,0.8108255877528704,0.6232699367335781
cicandmal2017,rf,0.7869401423189619,0.8668584880983521,0.8309929789368105,0.9059595407326407,0.6520869132234632
cicandmal2017,xgboost,0.7940560904143993,0.8753799392097265,0.8154789995280792,0.9447785675232367,0.6232821409044755
cicandmal2017,lightgbm,0.8028463792381749,0.8826314477946674,0.8108974358974359,0.9682886823400766,0.6153943411700383
cicandmal2017,catboost,0.8041021347844286,0.884330202669303,0.8069463238610736,0.9781301257517769,0.6069222057330314
cicandmal2017,deepforest,0.810380912515697,0.8864377036851341,0.8185185185185185,0.9666484417714598,0.6333242208857299
cicandmal2017,knn,0.7773126831310172,0.8634496919917863,0.8137397194000967,0.9196282121377802,0.6160641060688901
cicandmal2017,hmm,0.5190456257848473,0.6221637619204209,0.7805280528052805,0.5172225259704757,0.5211112629852378
cicandmal2017,hard,0.8078694014231896,0.8869179600886918,0.8071748878923767,0.9841443411700382,0.6081435991564477
cicandmal2017,soft,0.806613645876936,0.8862629246676513,0.8060904612628751,0.9841443411700382,0.6054650277278762
cicandmal2017,stacking,0.8133110087902888,0.8881083793276469,0.8205841446453408,0.967741935483871,0.6383352534562212
cicandmal2017,bayes_ensemble,0.8145667643365425,0.8893330002498127,0.8187672493100276,0.9732094040459267,0.634818987737249
