datasets,algorithm,accuracy,f1,precision,recall,roc_auc
cicandmal2017,lr,0.3281707827542905,0.4922492881999367,0.5840840840840841,0.42536905412793874,0.21804166992111218
cicandmal2017,svm,0.243197990791126,0.38753387533875333,0.5093499554764025,0.3127392017495899,0.16440531516050927
cicandmal2017,mlp_keras,0.5336961071578066,0.6754079254079254,0.7230193387398628,0.6336796063422635,0.42041123174256034
cicandmal2017,dt,0.4633737965676015,0.5780118499012509,0.7262200165425972,0.48004373974849646,0.4444861555885339
cicandmal2017,rf,0.5433235663457514,0.6644109504767765,0.759493670886076,0.590486604702023,0.4898861594938686
cicandmal2017,xgboost,0.7074089577228966,0.8120462489916646,0.798941798941799,0.825587752870421,0.5735081621494962
cicandmal2017,lightgbm,0.7630807869401424,0.8557594291539246,0.8014319809069212,0.9179879715691635,0.5875654143560103
cicandmal2017,catboost,0.7806613645876936,0.8688688688688689,0.8011075219197047,0.9491525423728814,0.5897548426150121
cicandmal2017,deepforest,0.7819171201339472,0.865409454921209,0.8202742409402547,0.9158009841443412,0.6302219206435992
cicandmal2017,knn,0.7174550020929259,0.8192771084337349,0.8027282266526757,0.8365226899945325,0.5825470592829806
cicandmal2017,hmm,0.4307241523650063,0.5348837209302325,0.7141552511415525,0.42755604155276106,0.4343137350620948
cicandmal2017,hard,0.7078275429049812,0.8168940188877228,0.7851739788199698,0.8512848551120831,0.5452852846988987
cicandmal2017,soft,0.7078275429049812,0.8179447052686488,0.7820448877805486,0.8572990705303445,0.5384709638366008
cicandmal2017,stacking,0.8681456676433654,0.9117399831885682,0.9350574712643678,0.8895571350464735,0.8438857103803796
cicandmal2017,bayes_ensemble,0.8087065717873587,0.8860064854078324,0.8146788990825689,0.9710224166211044,0.6247969225962665
