datasets,algorithm,accuracy,f1,precision,recall,roc_auc
datacon-all,lr,0.768595041322314,0.7021276595744682,0.7674418604651163,0.6470588235294118,0.7521008403361344
datacon-all,svm,0.7231404958677686,0.6256983240223464,0.7272727272727273,0.5490196078431373,0.6995098039215686
datacon-all,mlp_keras,0.7727272727272727,0.708994708994709,0.7701149425287356,0.6568627450980392,0.7570028011204482
datacon-all,dt,0.7851239669421488,0.7204301075268816,0.7976190476190477,0.6568627450980392,0.7677170868347338
datacon-all,rf,0.8016528925619835,0.7551020408163265,0.7872340425531915,0.7254901960784313,0.7913165266106443
datacon-all,xgboost,0.8388429752066116,0.8040201005025125,0.8247422680412371,0.7843137254901961,0.8314425770308123
datacon-all,lightgbm,0.8842975206611571,0.8666666666666667,0.8425925925925926,0.8921568627450981,0.8853641456582633
datacon-all,catboost,0.871900826446281,0.8502415458937198,0.8380952380952381,0.8627450980392157,0.8706582633053221
datacon-all,deepforest,0.871900826446281,0.8502415458937198,0.8380952380952381,0.8627450980392157,0.8706582633053221
datacon-all,knn,0.8057851239669421,0.7684729064039408,0.7722772277227723,0.7647058823529411,0.8002100840336135
datacon-all,hmm,0.49586776859504134,0.4245283018867924,0.4090909090909091,0.4411764705882353,0.48844537815126043
datacon-all,hard,0.8512396694214877,0.8217821782178217,0.83,0.8137254901960784,0.8461484593837535
datacon-all,soft,0.8760330578512396,0.8571428571428571,0.8333333333333334,0.8823529411764706,0.876890756302521
datacon-all,stacking,0.8842975206611571,0.8666666666666667,0.8425925925925926,0.8921568627450981,0.8853641456582633
