datasets,algorithm,accuracy,f1,precision,recall,roc_auc
datacon-all,lr,0.7933884297520661,0.7422680412371134,0.782608695652174,0.7058823529411765,0.7815126050420169
datacon-all,svm,0.8140495867768595,0.7761194029850745,0.7878787878787878,0.7647058823529411,0.8073529411764706
datacon-all,mlp_keras,0.8471074380165289,0.8212560386473431,0.8095238095238095,0.8333333333333334,0.8452380952380953
datacon-all,dt,0.8512396694214877,0.8217821782178217,0.83,0.8137254901960784,0.8461484593837535
datacon-all,rf,0.8429752066115702,0.8155339805825242,0.8076923076923077,0.8235294117647058,0.8403361344537815
datacon-all,xgboost,0.871900826446281,0.8502415458937198,0.8380952380952381,0.8627450980392157,0.8706582633053221
datacon-all,lightgbm,0.8801652892561983,0.861244019138756,0.8411214953271028,0.8823529411764706,0.8804621848739496
datacon-all,catboost,0.8842975206611571,0.8666666666666667,0.8425925925925926,0.8921568627450981,0.8853641456582633
datacon-all,deepforest,0.8801652892561983,0.861244019138756,0.8411214953271028,0.8823529411764706,0.8804621848739496
datacon-all,knn,0.8140495867768595,0.7804878048780487,0.7766990291262136,0.7843137254901961,0.8100140056022409
datacon-all,hmm,0.4669421487603306,0.37073170731707317,0.36893203883495146,0.37254901960784315,0.45413165266106437
datacon-all,hard,0.8842975206611571,0.8666666666666667,0.8425925925925926,0.8921568627450981,0.8853641456582633
datacon-all,soft,0.8801652892561983,0.8625592417061612,0.8348623853211009,0.8921568627450981,0.8817927170868347
datacon-all,stacking,0.859504132231405,0.838095238095238,0.8148148148148148,0.8627450980392157,0.8599439775910365
