datasets,algorithm,accuracy,f1,precision,recall,roc_auc
datacon-spl,lr,0.7275362318840579,0.7473118279569892,0.8348348348348348,0.6763990267639902,0.7396332051382675
datacon-spl,svm,0.7231884057971014,0.7422402159244263,0.8333333333333334,0.6690997566909975,0.7359835701017712
datacon-spl,mlp_keras,0.7405797101449275,0.7622841965471449,0.8391812865497076,0.6982968369829684,0.7505821102477566
datacon-spl,dt,0.7565217391304347,0.76536312849162,0.898360655737705,0.6666666666666666,0.7777777777777777
datacon-spl,rf,0.7695652173913043,0.7788595271210013,0.9090909090909091,0.681265206812652,0.790453391936792
datacon-spl,xgboost,0.7666666666666667,0.7779310344827586,0.8980891719745223,0.6861313868613139,0.7857180231797609
datacon-spl,lightgbm,0.7753623188405797,0.7856154910096819,0.9102564102564102,0.6909975669099757,0.7953195719854538
datacon-spl,catboost,0.7753623188405797,0.7891156462585034,0.8950617283950617,0.7055961070559611,0.7918661538864035
datacon-spl,deepforest,0.7782608695652173,0.7906976744186046,0.903125,0.7031630170316302,0.7960259529602596
datacon-spl,knn,0.7623188405797101,0.7771739130434782,0.88,0.6958637469586375,0.7780394003610392
datacon-spl,hmm,0.5289855072463768,0.37619961612284064,0.8909090909090909,0.2384428223844282,0.5977160348481281
datacon-spl,hard,0.7710144927536232,0.784741144414169,0.891640866873065,0.7007299270072993,0.7876409491667321
datacon-spl,soft,0.7695652173913043,0.785425101214575,0.8818181818181818,0.708029197080292,0.7841221254218664
datacon-spl,stacking,0.7724637681159421,0.783448275862069,0.9044585987261147,0.6909975669099757,0.7917353425947729
datacon-spl,bayes_ensemble,0.7840579710144927,0.7956104252400549,0.9119496855345912,0.7055961070559611,0.8026188420584465
