datasets,algorithm,accuracy,f1,precision,recall,roc_auc
datacon-tls,lr,0.8794326241134752,0.6909090909090908,0.95,0.5428571428571428,0.7667115902964959
datacon-tls,svm,0.9078014184397163,0.7719298245614035,1.0,0.6285714285714286,0.8142857142857143
datacon-tls,mlp_keras,0.8936170212765957,0.7540983606557377,0.8846153846153846,0.6571428571428571,0.814420485175202
datacon-tls,dt,0.8368794326241135,0.5490196078431373,0.875,0.4,0.690566037735849
datacon-tls,rf,0.851063829787234,0.6037735849056604,0.8888888888888888,0.45714285714285713,0.7191374663072776
datacon-tls,xgboost,0.8368794326241135,0.5490196078431373,0.875,0.4,0.690566037735849
datacon-tls,lightgbm,0.9078014184397163,0.7868852459016394,0.9230769230769231,0.6857142857142857,0.8334231805929919
datacon-tls,catboost,0.8581560283687943,0.6296296296296297,0.8947368421052632,0.4857142857142857,0.7334231805929919
datacon-tls,deepforest,0.8581560283687943,0.6296296296296297,0.8947368421052632,0.4857142857142857,0.7334231805929919
datacon-tls,knn,0.9361702127659575,0.8615384615384616,0.9333333333333333,0.8,0.8905660377358491
datacon-tls,hmm,0.900709219858156,0.787878787878788,0.8387096774193549,0.7428571428571429,0.8478436657681941
datacon-tls,hard,0.8794326241134752,0.7017543859649122,0.9090909090909091,0.5714285714285714,0.7762803234501348
datacon-tls,soft,0.8652482269503546,0.6545454545454545,0.9,0.5142857142857142,0.7477088948787062
datacon-tls,stacking,0.9361702127659575,0.8615384615384616,0.9333333333333333,0.8,0.8905660377358491
datacon-tls,bayes_ensemble,0.9219858156028369,0.8307692307692307,0.9,0.7714285714285715,0.8715633423180592
