datasets,algorithm,accuracy,f1,precision,recall,roc_auc
datacon-tls,lr,0.8581560283687943,0.6153846153846154,0.9411764705882353,0.45714285714285713,0.7238544474393531
datacon-tls,svm,0.8723404255319149,0.6538461538461539,1.0,0.4857142857142857,0.7428571428571429
datacon-tls,mlp_keras,0.9219858156028369,0.8307692307692307,0.9,0.7714285714285715,0.8715633423180592
datacon-tls,dt,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
datacon-tls,rf,0.9716312056737588,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9619946091644205
datacon-tls,xgboost,0.9716312056737588,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9619946091644205
datacon-tls,lightgbm,0.9858156028368794,0.9722222222222222,0.9459459459459459,1.0,0.9905660377358491
datacon-tls,catboost,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
datacon-tls,deepforest,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
datacon-tls,knn,0.9645390070921985,0.9275362318840579,0.9411764705882353,0.9142857142857143,0.9477088948787061
datacon-tls,hmm,0.8439716312056738,0.6206896551724138,0.782608695652174,0.5142857142857142,0.7335579514824798
datacon-tls,hard,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
datacon-tls,soft,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
datacon-tls,stacking,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
datacon-tls,bayes_ensemble,0.9787234042553191,0.9577464788732395,0.9444444444444444,0.9714285714285714,0.9762803234501348
