datasets,algorithm,accuracy,f1,precision,recall,roc_auc
dohbrw,lr,0.8242398102221263,0.4320557491289199,0.7093821510297483,0.3106212424849699,0.6378607723829082
dohbrw,svm,0.8216519301272375,0.43004824259131635,0.6887417218543046,0.312625250501002,0.6369391710048291
dohbrw,mlp_keras,0.8401984041406082,0.4821802935010483,0.7967667436489607,0.3456913827655311,0.6607544575273107
dohbrw,dt,0.789950398964848,0.0562015503875969,0.8529411764705882,0.02905811623246493,0.5138420561926271
dohbrw,rf,0.8440802242829416,0.43205027494108406,1.0,0.2755511022044088,0.6377755511022044
dohbrw,xgboost,0.8361009273237007,0.38511326860841427,1.0,0.23847695390781562,0.6192384769539078
dohbrw,lightgbm,0.8358852706491265,0.38777152051488334,0.9836734693877551,0.24148296593186372,0.6201918814270476
dohbrw,catboost,0.8389044640931637,0.4019215372297838,1.0,0.251503006012024,0.625751503006012
dohbrw,deepforest,0.8386888074185896,0.4016,0.996031746031746,0.251503006012024,0.6256141026212909
dohbrw,knn,0.8449428509812379,0.5037957211870255,0.8093126385809313,0.3657314629258517,0.6710492983769132
dohbrw,hmm,0.7127453094673281,0.5886349598517604,0.42544642857142856,0.9549098196392786,0.8006206146836129
dohbrw,hard,0.8361009273237007,0.3870967741935484,0.9917355371900827,0.24048096192384769,0.6199656801924817
dohbrw,soft,0.8391201207677378,0.4041533546325879,0.9960629921259843,0.2535070140280561,0.6266161066293069
dohbrw,stacking,0.8649989217166272,0.5804289544235925,0.8765182186234818,0.4338677354709419,0.7085524442674853
dohbrw,bayes_ensemble,0.8542160879879233,0.5101449275362319,0.9214659685863874,0.3527054108216433,0.6722306938691892
