datasets,algorithm,accuracy,f1,precision,recall,roc_auc
dohbrw,lr,0.9217166271296097,0.8076311605723369,0.8571428571428571,0.7635270541082164,0.8643136781945314
dohbrw,svm,0.9191287470347207,0.8029427220178664,0.8441988950276244,0.7655310621242485,0.8633920768164524
dohbrw,mlp_keras,0.9547120983394436,0.892966360856269,0.9087136929460581,0.8777555110220441,0.9267865216555672
dohbrw,dt,0.9978434332542592,0.9949899799599199,0.9949899799599199,0.9949899799599199,0.9968079880563545
dohbrw,rf,0.997412119905111,0.9939516129032258,1.0,0.9879759519038076,0.9939879759519038
dohbrw,xgboost,0.9991373733017037,0.9979919678714859,1.0,0.9959919839679359,0.9979959919839679
dohbrw,lightgbm,0.9987060599525556,0.9969969969969971,0.996,0.9979959919839679,0.9984483944530997
dohbrw,catboost,0.9993530299762777,0.9984947315604616,1.0,0.996993987975952,0.998496993987976
dohbrw,deepforest,0.9987060599525556,0.996987951807229,0.9989939637826962,0.9949899799599199,0.9973575895952388
dohbrw,knn,0.9682984688376105,0.9272637308263236,0.9159335288367546,0.938877755511022,0.9576224446694983
dohbrw,hmm,0.6896700452879017,0.5404024273395082,0.39662447257383965,0.8476953907815631,0.747013400254755
dohbrw,hard,0.997412119905111,0.993963782696177,0.997979797979798,0.9899799599198397,0.9947151791904777
dohbrw,soft,0.9987060599525556,0.996987951807229,0.9989939637826962,0.9949899799599199,0.9973575895952388
dohbrw,stacking,0.9989217166271296,0.9974886991461578,1.0,0.9949899799599199,0.9974949899799599
dohbrw,bayes_ensemble,0.9993530299762777,0.9984947315604616,1.0,0.996993987975952,0.998496993987976
