ml,adv_train,adv_train_orig,orig,evasion
lr,1,0.998907,0.99836,0.425369
svm,0.998907,0.997266,0.995626,0.312739
mlp,0.997266,0.965008,0.936031,0.63368
dt,0.986878,0.810826,0.811372,0.480044
rf,0.998907,0.90596,0.898305,0.590487
xgboost,0.999453,0.944779,0.945872,0.825588
lightgbm,1,0.968289,0.968289,0.917988
catboost,1,0.97813,0.975396,0.949153
deepforest,1,0.966648,0.949153,0.915801
knn,0.988518,0.919628,0.911427,0.836523
hmm,0.543466,0.517223,0.615637,0.427556
Hard-voting,1,0.984144,0.97813,0.851285
Soft-voting,1,0.984144,0.984144,0.857299
Stacking,0.985238,0.967742,0.955714,0.889557
BayesEns,0.999453,0.973209,0.964461,0.971022
