datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.499,0.0,0.0,0.0,0.5
satflow,svm,0.499,0.0,0.0,0.0,0.5
satflow,dt,0.985,0.9848024316109423,1.0,0.1700598802395209,0.9850299401197604
satflow,rf,0.513,0.054368932038834944,1.0,0.027944111776447105,0.5139720558882236
satflow,xgboost,0.524,0.09505703422053233,1.0,0.0499001996007984,0.5249500998003992
satflow,lightgbm,0.99,0.9899193548387097,1.0,0.1800399201596807,0.9900199600798403
satflow,catboost,0.551,0.1880650994575045,1.0,0.10379241516966067,0.5518962075848304
satflow,deepforest,0.5,0.003984063745019919,1.0,0.001996007984031936,0.500998003992016
satflow,knn,0.499,0.0,0.0,0.0,0.5
satflow,mlp_torch,0.499,0.0,0.0,0.0,0.5
satflow,soft_ensemble,0.985,0.9848024316109423,1.0,0.0700598802395209,0.9850299401197604
