datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.497,0.0,0.0,0.0,0.5
satflow,svm,0.497,0.0,0.0,0.0,0.5
satflow,dt,0.661,0.49175412293853077,1.0,0.3260437375745527,0.6630218687872763
satflow,rf,0.497,0.0,0.0,0.0,0.5
satflow,xgboost,0.497,0.0,0.0,0.0,0.5
satflow,lightgbm,0.869,0.8502857142857142,1.0,0.1395626242544732,0.8697813121272366
satflow,catboost,0.585,0.2978003384094755,1.0,0.1749502982107356,0.5874751491053678
satflow,deepforest,0.497,0.0,0.0,0.0,0.5
satflow,knn,0.762,0.6901041666666666,1.0,0.5268389662027833,0.7634194831013916
satflow,mlp_torch,0.497,0.0,0.0,0.0,0.5
satflow,soft_ensemble,0.497,0.0,0.0,0.0,0.5
