datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.999,0.999004975124378,1.0,0.9980119284294234,0.9990059642147118
satflow,svm,0.999,0.999004975124378,1.0,0.9980119284294234,0.9990059642147118
satflow,dt,1.0,1.0,1.0,1.0,1.0
satflow,rf,1.0,1.0,1.0,1.0,1.0
satflow,xgboost,0.999,0.999004975124378,1.0,0.9980119284294234,0.9990059642147118
satflow,lightgbm,1.0,1.0,1.0,1.0,1.0
satflow,catboost,1.0,1.0,1.0,1.0,1.0
satflow,deepforest,1.0,1.0,1.0,1.0,1.0
satflow,knn,0.999,0.999004975124378,1.0,0.9980119284294234,0.9990059642147118
satflow,mlp_torch,0.999,0.999004975124378,1.0,0.9980119284294234,0.9990059642147118
satflow,soft_ensemble,0.999,0.999004975124378,1.0,0.9980119284294234,0.9990059642147118
