datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.893,0.8918099089989888,0.8855421686746988,0.8981670061099797,0.8930913616011589
satflow,svm,0.77,0.7319347319347319,0.8555858310626703,0.639511201629328,0.7676927324453123
satflow,dt,0.509,0.0,0.0,0.0,0.5
satflow,rf,0.509,0.0,0.0,0.0,0.5
satflow,xgboost,0.509,0.0,0.0,0.0,0.5
satflow,lightgbm,0.509,0.0,0.0,0.0,0.5
satflow,catboost,0.509,0.0,0.0,0.0,0.5
satflow,deepforest,0.509,0.0,0.0,0.0,0.5
satflow,knn,1.0,1.0,1.0,1.0,1.0
satflow,mlp_torch,0.542,0.13257575757575757,0.9459459459459459,0.07128309572301425,0.5336769113192674
satflow,soft_ensemble,0.993,0.9929078014184397,0.9879032258064516,0.9979633401221996,0.9930877604343809
