datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.862,0.8559498956158664,0.8779443254817987,0.835030549898167,0.8615231334952527
satflow,svm,0.769,0.7304550758459744,0.855191256830601,0.6374745417515275,0.7666744025064121
satflow,dt,0.509,0.0,0.0,0.0,0.5
satflow,rf,0.509,0.0,0.0,0.0,0.5
satflow,xgboost,0.509,0.0,0.0,0.0,0.5
satflow,lightgbm,0.509,0.0,0.0,0.0,0.5
satflow,catboost,0.509,0.0,0.0,0.0,0.5
satflow,deepforest,0.509,0.0,0.0,0.0,0.5
satflow,knn,0.998,0.9979591836734694,1.0,0.9959266802443992,0.9979633401221997
satflow,mlp_torch,0.54,0.12547528517110265,0.9428571428571428,0.06720977596741344,0.5316402514414671
satflow,soft_ensemble,0.993,0.9929078014184397,0.9879032258064516,0.9979633401221996,0.9930877604343809
