datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.452,0.0,0.0,0.0,0.444007858546169
satflow,svm,0.456,0.0,0.0,0.0,0.4479371316306483
satflow,dt,0.518,0.036,1.0,0.018329938900203666,0.5091649694501018
satflow,rf,0.509,0.0,0.0,0.0,0.5
satflow,xgboost,0.529,0.07827788649706459,1.0,0.04073319755600815,0.5203665987780041
satflow,lightgbm,0.543,0.12952380952380954,1.0,0.06924643584521385,0.5346232179226069
satflow,catboost,0.538,0.11153846153846154,1.0,0.059063136456211814,0.5295315682281059
satflow,deepforest,0.509,0.0,0.0,0.0,0.5
satflow,knn,0.671,0.49617151607963245,1.0,0.329938900203666,0.6649694501018331
satflow,mlp_torch,0.507,0.0,0.0,0.0,0.49803536345776034
satflow,soft_ensemble,0.503,0.0,0.0,0.0,0.49410609037328096
