datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.943,0.9451395572666025,0.8959854014598541,1.0,0.944007858546169
satflow,svm,0.947,0.948792270531401,0.9025735294117647,1.0,0.9479371316306483
satflow,dt,1.0,1.0,1.0,1.0,1.0
satflow,rf,1.0,1.0,1.0,1.0,1.0
satflow,xgboost,1.0,1.0,1.0,1.0,1.0
satflow,lightgbm,1.0,1.0,1.0,1.0,1.0
satflow,catboost,1.0,1.0,1.0,1.0,1.0
satflow,deepforest,1.0,1.0,1.0,1.0,1.0
satflow,knn,1.0,1.0,1.0,1.0,1.0
satflow,mlp_torch,0.998,0.9979674796747968,0.9959432048681541,1.0,0.9980353634577603
satflow,soft_ensemble,0.994,0.9939271255060729,0.9879275653923542,1.0,0.994106090373281
