datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.965,0.9671977507029054,0.9591078066914498,0.9754253308128544,0.9643581006505886
satflow,svm,0.941,0.9459211732355638,0.9181494661921709,0.9754253308128544,0.9388803936442192
satflow,dt,0.471,0.0,0.0,0.0,0.5
satflow,rf,0.471,0.0,0.0,0.0,0.5
satflow,xgboost,0.883,0.8756641870350691,1.0,0.77882797731569,0.8894139886578449
satflow,lightgbm,0.471,0.0,0.0,0.0,0.5
satflow,catboost,0.635,0.4733044733044733,1.0,0.31001890359168244,0.6550094517958412
satflow,deepforest,0.635,0.4733044733044733,1.0,0.31001890359168244,0.6550094517958412
satflow,knn,0.915,0.9126413155190134,1.0,0.8393194706994329,0.9196597353497165
satflow,mlp_torch,0.628,0.4577259475218659,1.0,0.29678638941398866,0.6483931947069943
satflow,soft_ensemble,0.897,0.8932642487046633,0.9885321100917431,0.8147448015122873,0.9020645451298167
