datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.878,0.8755102040816326,0.9512195121951219,0.8109640831758034,0.882127476832063
satflow,svm,0.853,0.8534396809571286,0.9029535864978903,0.8090737240075614,0.8557045902415726
satflow,dt,0.471,0.0,0.0,0.0,0.5
satflow,rf,0.471,0.0,0.0,0.0,0.5
satflow,xgboost,0.883,0.8756641870350691,1.0,0.77882797731569,0.8894139886578449
satflow,lightgbm,0.471,0.0,0.0,0.0,0.5
satflow,catboost,0.882,0.874468085106383,1.0,0.776937618147448,0.888468809073724
satflow,deepforest,0.872,0.8623655913978495,1.0,0.7580340264650284,0.8790170132325141
satflow,knn,0.915,0.9126413155190134,1.0,0.8393194706994329,0.9196597353497165
satflow,mlp_torch,0.511,0.14059753954305798,1.0,0.07561436672967864,0.5378071833648393
satflow,soft_ensemble,0.895,0.8909657320872274,0.988479262672811,0.8109640831758034,0.9001741859615747
