datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.958,0.9574036511156186,1.0,0.9182879377431906,0.9591439688715953
satflow,svm,0.964,0.9637096774193549,1.0,0.9299610894941635,0.9649805447470817
satflow,dt,0.485,0.0,0.0,0.0,0.49897119341563784
satflow,rf,0.486,0.0,0.0,0.0,0.5
satflow,xgboost,0.974,0.9740518962075848,1.0,0.9494163424124513,0.9747081712062257
satflow,lightgbm,0.486,0.0,0.0,0.0,0.5
satflow,catboost,0.486,0.0,0.0,0.0,0.5
satflow,deepforest,0.486,0.0,0.0,0.0,0.5
satflow,knn,0.96,0.9595141700404859,1.0,0.9221789883268483,0.9610894941634242
satflow,mlp_torch,0.485,0.0,0.0,0.0,0.49897119341563784
satflow,soft_ensemble,0.958,0.9574036511156186,1.0,0.9182879377431906,0.9591439688715953
