datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.486,0.0,0.0,0.0,0.5
satflow,svm,0.799,0.7569528415961305,1.0,0.2089494163424124,0.8044747081712063
satflow,dt,0.524,0.14079422382671478,0.975,0.07587548638132295,0.5369089366062992
satflow,rf,0.486,0.0,0.0,0.0,0.5
satflow,xgboost,0.587,0.3284552845528455,1.0,0.19649805447470817,0.5982490272373541
satflow,lightgbm,0.569,0.2780569514237856,1.0,0.1614785992217899,0.580739299610895
satflow,catboost,0.587,0.3284552845528455,1.0,0.19649805447470817,0.5982490272373541
satflow,deepforest,0.486,0.0,0.0,0.0,0.5
satflow,knn,0.877,0.8640883977900552,1.0,0.3607003891050583,0.8803501945525292
satflow,mlp_torch,0.485,0.0,0.0,0.0,0.49897119341563784
satflow,soft_ensemble,0.486,0.0,0.0,0.0,0.5
