datasets,algorithm,accuracy,f1,precision,recall,roc_auc
satflow,lr,0.989,0.9891838741396263,1.0,0.9785992217898832,0.9892996108949417
satflow,svm,0.996,0.99609375,1.0,0.9922178988326849,0.9961089494163424
satflow,dt,0.999,0.9990281827016522,0.9980582524271845,1.0,0.9989711934156378
satflow,rf,1.0,1.0,1.0,1.0,1.0
satflow,xgboost,1.0,1.0,1.0,1.0,1.0
satflow,lightgbm,1.0,1.0,1.0,1.0,1.0
satflow,catboost,1.0,1.0,1.0,1.0,1.0
satflow,deepforest,1.0,1.0,1.0,1.0,1.0
satflow,knn,1.0,1.0,1.0,1.0,1.0
satflow,mlp_torch,0.998,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.9979984307697234
satflow,soft_ensemble,0.989,0.9891838741396263,1.0,0.9785992217898832,0.9892996108949417
